c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,counta,countb,sum
Georgetown,6.801973693,-58.16702865,New York,40.74997906,-73.98001693,Georgetown to New York,6,,Georgetown,6.801973693,-58.16702865,7,0,7
Doha,25.28655601,51.53296789,Abu Dhabi,24.46668357,54.36659338,Doha to Abu Dhabi,4,,Doha,25.28655601,51.53296789,4,2,6
Havana,23.13195884,-82.36418217,Miami,25.7876107,-80.22410608,Havana to Miami,4,,Havana,23.13195884,-82.36418217,4,0,4
Manama,26.23613629,50.58305172,Dubai,25.22999615,55.27997432,Manama to Dubai,3,,Manama,26.23613629,50.58305172,3,3,6
Jakarta,-6.174417705,106.8294376,Riyadh,24.64083315,46.77274166,Jakarta to Riyadh,2,,Jakarta,-6.174417705,106.8294376,6,1,7
Luqa,35.8583,14.4869,Tripoli,32.89250002,13.18001176,Luqa to Tripoli,2,,Luqa,35.8583,14.4869,2,0,2
Petropavlovsk Kamchatskiy,53.06199241,158.6230204,Vladivostok,43.13001467,131.9100256,Petropavlovsk Kamchatskiy to Vladivostok,2,,Petropavlovsk Kamchatskiy,53.06199241,158.6230204,3,0,3
Moscow,55.75216412,37.61552283,Dubai,25.22999615,55.27997432,Moscow to Dubai,2,,Moscow,55.75216412,37.61552283,5,2,7
Brussels,50.83331708,4.333316608,Dubai,25.22999615,55.27997432,Brussels to Dubai,2,,Brussels,50.83331708,4.333316608,5,1,6
Islamabad,33.69999595,73.16663448,Manchester,53.50041526,-2.247987103,Islamabad to Manchester,2,,Islamabad,33.69999595,73.16663448,4,1,5
Mexico City,19.44244244,-99.1309882,Paris,48.86669293,2.333335326,Mexico City to Paris,2,,Mexico City,19.44244244,-99.1309882,2,1,3
Islamabad,33.69999595,73.16663448,Leeds,53.83000755,-1.580017539,Islamabad to Leeds,2,,Camaguey,21.38082542,-77.91693425,2,0,2
Brussels,50.83331708,4.333316608,Tel Aviv,32.07999147,34.77001176,Brussels to Tel Aviv,2,,Ho Chi Minh City,10.78002545,106.6950272,5,1,6
Camaguey,21.38082542,-77.91693425,"Washington, D.C.",38.89954938,-77.00941858,"Camaguey to Washington, D.C.",2,,Dubai,25.22999615,55.27997432,3,18,21
Ho Chi Minh City,10.78002545,106.6950272,Singapore,1.293033466,103.8558207,Ho Chi Minh City to Singapore,2,,Hanoi,21.03332725,105.8500142,3,1,4
Dubai,25.22999615,55.27997432,Melbourne,-37.82003131,144.9750162,Dubai to Melbourne,1,,Denpasar,-8.650028871,115.2199849,2,0,2
Hanoi,21.03332725,105.8500142,Los Angeles,-37.46000161,-72.35998661,Hanoi to Los Angeles,1,,Bangalore,12.96999514,77.56000972,1,0,1
Denpasar,-8.650028871,115.2199849,Canberra,-35.28302855,149.1290262,Denpasar to Canberra,1,,Douala,4.060409769,9.709991006,2,0,2
Bangalore,12.96999514,77.56000972,Delhi,28.6699929,77.23000403,Bangalore to Delhi,1,,Beirut,33.87197512,35.50970821,1,0,1
Moscow,55.75216412,37.61552283,Doha,25.28655601,51.53296789,Moscow to Doha,1,,Birmingham,52.47497398,-1.919996787,1,0,1
Douala,4.060409769,9.709991006,Nassau,25.08339012,-77.35004378,Douala to Nassau,1,,New Delhi,28.60002301,77.19998002,1,0,1
Douala,4.060409769,9.709991006,Addis Ababa,9.033310363,38.70000443,Douala to Addis Ababa,1,,Sao Paulo,-23.55867959,-46.62501998,3,5,8
Beirut,33.87197512,35.50970821,Sofia,42.68334943,23.31665401,Beirut to Sofia,1,,Bukavu,-2.509990215,28.8400378,1,1,2
Birmingham,52.47497398,-1.919996787,Dubai,25.22999615,55.27997432,Birmingham to Dubai,1,,Karachi,24.86999229,66.99000891,4,1,5
New Delhi,28.60002301,77.19998002,Dhaka,23.72305971,90.40857947,New Delhi to Dhaka,1,,Brasilia,-15.78334023,-47.91605229,4,0,4
