c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,suma,sumb,sum
Nairobi,-1.283346742,36.81665686,Bangkok,13.74999921,100.5166447,Nairobi to Bangkok,14,,Nairobi,-1.283346742,36.81665686,51,28,79
Lilongwe,-13.98329507,33.78330196,Beijing,39.92889223,116.3882857,Lilongwe to Beijing,13,,Bangkok,13.74999921,100.5166447,12,32,44
Dubai,25.22999615,55.27997432,Hong Kong,22.3049809,114.1850093,Dubai to Hong Kong,10,,Beijing,39.92889223,116.3882857,0,38,38
Kinshasa,-4.329724102,15.31497188,Nairobi,-1.283346742,36.81665686,Kinshasa to Nairobi,7,,Hong Kong,22.3049809,114.1850093,7,29,36
Maputo,-25.95527749,32.58916296,Nairobi,-1.283346742,36.81665686,Maputo to Nairobi,7,,Addis Ababa,9.033310363,38.70000443,21,13,34
Addis Ababa,9.033310363,38.70000443,Beijing,39.92889223,116.3882857,Addis Ababa to Beijing,7,,Dubai,25.22999615,55.27997432,17,16,33
Nairobi,-1.283346742,36.81665686,Guangzhou,23.1449813,113.3250101,Nairobi to Guangzhou,6,,Lilongwe,-13.98329507,33.78330196,23,0,23
Lilongwe,-13.98329507,33.78330196,Addis Ababa,9.033310363,38.70000443,Lilongwe to Addis Ababa,5,,Luanda,-8.838286114,13.23442704,16,1,17
Harare,-17.81778969,31.04470943,Dubai,25.22999615,55.27997432,Harare to Dubai,5,,Doha,25.28655601,51.53296789,8,8,16
Nairobi,-1.283346742,36.81665686,Hong Kong,22.3049809,114.1850093,Nairobi to Hong Kong,5,,Kuala Lumpur,3.166665872,101.6999833,3,12,15
Paris,48.86669293,2.333335326,Hanoi,21.03332725,105.8500142,Paris to Hanoi,5,,Hanoi,21.03332725,105.8500142,0,15,15
Addis Ababa,9.033310363,38.70000443,Bangkok,13.74999921,100.5166447,Addis Ababa to Bangkok,4,,Kinshasa,-4.329724102,15.31497188,14,1,15
Luanda,-8.838286114,13.23442704,Bangkok,13.74999921,100.5166447,Luanda to Bangkok,4,,Entebbe,0.060395527,32.46002356,12,1,13
Nairobi,-1.283346742,36.81665686,Dubai,25.22999615,55.27997432,Nairobi to Dubai,3,,Paris,48.86669293,2.333335326,8,5,13
Nairobi,-1.283346742,36.81665686,Doha,25.28655601,51.53296789,Nairobi to Doha,3,,Maputo,-25.95527749,32.58916296,10,2,12
