c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,counta,countb,sum
Khartoum,15.58807823,32.53417924,Dubai,25.22999615,55.27997432,Khartoum to Dubai,8,,Khartoum,15.58807823,32.53417924,11,2,13
Antananarivo,-18.91663735,47.5166239,Nairobi,-1.283346742,36.81665686,Antananarivo to Nairobi,7,,Antananarivo,-18.91663735,47.5166239,26,0,26
Chennai,13.08998781,80.27999874,Kuala Lumpur,3.166665872,101.6999833,Chennai to Kuala Lumpur,7,,Chennai,13.08998781,80.27999874,16,6,22
Dhaka,23.72305971,90.40857947,Bangkok,13.74999921,100.5166447,Dhaka to Bangkok,6,,Dhaka,23.72305971,90.40857947,13,4,17
Antananarivo,-18.91663735,47.5166239,Bangkok,13.74999921,100.5166447,Antananarivo to Bangkok,6,,Bangkok,13.74999921,100.5166447,14,40,54
Chennai,13.08998781,80.27999874,Bangkok,13.74999921,100.5166447,Chennai to Bangkok,6,,New Delhi,28.60002301,77.19998002,8,2,10
Bangkok,13.74999921,100.5166447,Hong Kong,22.3049809,114.1850093,Bangkok to Hong Kong,5,,Yamoussoukro,6.81838096,-5.275502565,4,0,4
New Delhi,28.60002301,77.19998002,Dhaka,23.72305971,90.40857947,New Delhi to Dhaka,3,,Mumbai,19.01699038,72.8569893,7,3,10
Yamoussoukro,6.81838096,-5.275502565,Dubai,25.22999615,55.27997432,Yamoussoukro to Dubai,3,,Lahore,31.55997154,74.35002478,5,0,5
Mumbai,19.01699038,72.8569893,Bangkok,13.74999921,100.5166447,Mumbai to Bangkok,3,,Kuala Lumpur,3.166665872,101.6999833,8,30,38
Dhaka,23.72305971,90.40857947,Kuala Lumpur,3.166665872,101.6999833,Dhaka to Kuala Lumpur,3,,Jakarta,-6.174417705,106.8294376,15,6,21
Lahore,31.55997154,74.35002478,Bangkok,13.74999921,100.5166447,Lahore to Bangkok,3,,Nairobi,-1.283346742,36.81665686,7,7,14
Kuala Lumpur,3.166665872,101.6999833,Jakarta,-6.174417705,106.8294376,Kuala Lumpur to Jakarta,3,,Niamey,13.51670595,2.116656045,2,0,2
Jakarta,-6.174417705,106.8294376,Hong Kong,22.3049809,114.1850093,Jakarta to Hong Kong,3,,Penang,5.2913,100.2684,2,0,2
Nairobi,-1.283346742,36.81665686,Bangkok,13.74999921,100.5166447,Nairobi to Bangkok,3,,San Salvador,13.71000165,-89.20304122,2,0,2
Kuala Lumpur,3.166665872,101.6999833,Chennai,13.08998781,80.27999874,Kuala Lumpur to Chennai,3,,Buenos Aires,-34.60250161,-58.39753137,2,0,2
Niamey,13.51670595,2.116656045,Paris,48.86669293,2.333335326,Niamey to Paris,2,,Accra,5.550034606,-0.21671574,2,0,2
