c1,c1lat,c1long,c2,c2lat,c2long,route,count,Unique,ulat,ulong,counta,countb,sum
Maputo,-25.95527749,32.58916296,Nairobi,-1.283346742,36.81665686,Maputo to Nairobi,5,Doha,25.28655601,51.53296789,9,7,16
Bangkok,13.74999921,100.5166447,Hanoi,21.03332725,105.8500142,Bangkok to Hanoi,4,Bangkok,13.74999921,100.5166447,6,7,13
Johannesburg,-26.17004474,28.03000972,Hong Kong,22.3049809,114.1850093,Johannesburg to Hong Kong,3,Maputo,-25.95527749,32.58916296,14,0,14
Maputo,-25.95527749,32.58916296,Doha,25.28655601,51.53296789,Maputo to Doha,3,Nairobi,-1.283346742,36.81665686,7,7,14
Nairobi,-1.283346742,36.81665686,Vientiane,17.96669273,102.59998,Nairobi to Vientiane,2,Hanoi,21.03332725,105.8500142,0,14,14
Maputo,-25.95527749,32.58916296,Bangkok,13.74999921,100.5166447,Maputo to Bangkok,2,Beijing,39.92889223,116.3882857,0,13,13
Paris,48.86669293,2.333335326,Shanghai,31.21645245,121.4365047,Paris to Shanghai,2,Johannesburg,-26.17004474,28.03000972,6,3,9
Paris,48.86669293,2.333335326,Beijing,39.92889223,116.3882857,Paris to Beijing,2,Paris,48.86669293,2.333335326,6,1,7
Dubai,25.22999615,55.27997432,Beijing,39.92889223,116.3882857,Dubai to Beijing,2,Dubai,25.22999615,55.27997432,4,2,6
Doha,25.28655601,51.53296789,Ho Chi Minh City,10.78002545,106.6950272,Doha to Ho Chi Minh City,2,Hong Kong,22.3049809,114.1850093,0,5,5
Doha,25.28655601,51.53296789,Hanoi,21.03332725,105.8500142,Doha to Hanoi,2,Addis Ababa,9.033310363,38.70000443,3,1,4
Lagos,6.443261653,3.391531071,Doha,25.28655601,51.53296789,Lagos to Doha,2,Kuala Lumpur,3.166665872,101.6999833,1,3,4
Paris,48.86669293,2.333335326,Hanoi,21.03332725,105.8500142,Paris to Hanoi,2,Vientiane,17.96669273,102.59998,1,3,4
Addis Ababa,9.033310363,38.70000443,Bangkok,13.74999921,100.5166447,Addis Ababa to Bangkok,2,Shanghai,31.21645245,121.4365047,0,4,4
Manchester,53.50041526,-2.247987103,Amsterdam,52.34996869,4.916640176,Manchester to Amsterdam,1,Lagos,6.443261653,3.391531071,3,0,3
Amsterdam,52.34996869,4.916640176,Beijing,39.92889223,116.3882857,Amsterdam to Beijing,1,Pretoria,-25.70692055,28.22942908,2,0,2
Bangkok,13.74999921,100.5166447,Nairobi,-1.283346742,36.81665686,Bangkok to Nairobi,1,Ho Chi Minh City,10.78002545,106.6950272,0,3,3
Naypyidaw,19.76655703,96.11861853,Taipei,25.03583333,121.5683333,Naypyidaw to Taipei,1,Amsterdam,52.34996869,4.916640176,1,1,2
Faro,37.0170803,-7.933273154,Shannon,52.7038489,-8.864146567,Faro to Shannon,1,Kampala,0.316658955,32.58332353,1,1,2
Abuja,9.083333149,7.533328002,Beijing,39.92889223,116.3882857,Abuja to Beijing,1,Singapore,1.293033466,103.8558207,1,1,2
Addis Ababa,9.033310363,38.70000443,Beijing,39.92889223,116.3882857,Addis Ababa to Beijing,1,Milan,45.4699752,9.20500891,2,0,2
Johannesburg,-26.17004474,28.03000972,Hanoi,21.03332725,105.8500142,Johannesburg to Hanoi,1,Entebbe,0.060395527,32.46002356,2,0,2
Nairobi,-1.283346742,36.81665686,Dubai,25.22999615,55.27997432,Nairobi to Dubai,1,Kinshasa,-4.329724102,15.31497188,2,0,2
Dubai,25.22999615,55.27997432,Kuala Lumpur,3.166665872,101.6999833,Dubai to Kuala Lumpur,1,Abu Dhabi,24.46668357,54.36659338,1,1,2
Doha,25.28655601,51.53296789,Kuala Lumpur,3.166665872,101.6999833,Doha to Kuala Lumpur,1,Manchester,53.50041526,-2.247987103,1,0,1
Kuala Lumpur,3.166665872,101.6999833,Bangkok,13.74999921,100.5166447,Kuala Lumpur to Bangkok,1,Naypyidaw,19.76655703,96.11861853,1,0,1
Doha,25.28655601,51.53296789,Beijing,39.92889223,116.3882857,Doha to Beijing,1,Faro,37.0170803,-7.933273154,1,0,1
Brussels,50.83331708,4.333316608,Urumqi,43.80501223,87.57500565,Brussels to Urumqi,1,Abuja,9.083333149,7.533328002,1,0,1
