ID,Year,Date ,Database,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Species
1,2009,18-Jan-09,Birds,JFK Airport,"New York, USA",Guyana,,"New York, USA",,3,Delta Airlines,Luggage,,,Finches
2,2009,3-Feb-09,Birds,Melbourne Airport,"Melbourne, Australia",,"Dubai, UAE","Melbourne, Australia",,4,,Passenger Clothing/Items; luggage,,in vitamin bottles and in tights under his pants,Pigeons; Bird eggs
3,2009,12-Feb-09,Birds,Taiwan Taoyuan Airport,"Taipei, Taiwan",Indonesia,,,,8,,Luggage,,,Parrots
4,2009,1-Mar-09,Birds,Los Angeles Airport,"Los Angeles, USA",Vietnam,,"Los Angeles, USA",,14,,Passenger Clothing/Items,,,red-whiskered bulbuls; magpie robins; shama thrushes
5,2009,13-Mar-09,Birds,Soekarno-Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Riyadh, Saudi Arabia",,30,,Luggage,,,Birds
6,2009,6-Sep-09,Birds,Perth Airport,"Perth, Australia","Denpasar, Indonesia",,"Perth, Australia",,38,,Passenger Clothing/Items,,,Parrot eggs
7,2009,14-Sep-09,Birds,JFK Airport,"New York, USA","Georgetown, Guyana",,"New York, USA",,31,Carribean Airlines,Luggage,,Wrapped in toiled paper rolls and concealed in lining of the suitcase,Finches
8,2009,2-Oct-09,Birds,Kaohsiung Airport,"Kaohsiung, Taiwan",China,,,,6,,Luggage,Detector Dog,,Chinese Hwameis
9,2009,20-Oct-09,Birds,Bengaluru Airport,"Bangalore, India","Bangalore, India",,"Delhi, India",,2,,Airfreight,,,Macaws
10,2009,31-Oct-09,Birds,Domodedovo Airport,"Moscow, Russia","Moscow, Russia",,"Doha, Qatar",,14,,Luggage,,,Gyrfalcons
11,2009,20-Nov-09,Birds,Taiwan Taoyuan Airport,"Taipei, Taiwan",China,,,,116,,Luggage,,,Birds
12,2009,21-Nov-09,Birds,Malta Airport,"Luqa, Malta","Luqa, Malta",,"Tripoli, Libya",,200,,Passenger Clothing/Items; Luggage,,,Canaries
13,2009,28-Nov-09,Birds,Douala Airport,"Douala, Cameroon","Douala, Cameroon",,Bahamas,,300,,Luggage,,"""Practically fastened"" in ten cases",Grey Parrots
14,2009,2-Dec-09,Birds,Petropavlovsk Kamchatskiy Airport,"Petropavlovsk Kamchatskiy, Russia","Petropavlovsk Kamchatskiy, Russia",,"Vladivostok, Russia",,9,,Luggage,,,Gyrfalcons
15,2010,1-Feb-10,Birds,Douala Airport,"Douala, Cameroon","Douala, Cameroon","Addis Ababa, Ethiopia","Kuwait City, Kuwait; Manama, Bahrain",,1000,Ethiopian Airlines,Airfreight,,,Grey Parrots
16,2010,27-Apr-10,Birds,Sofia Airport,"Sofia, Bulgaria","Beirut, Lebanon",,"Sofia, Bulgaria",,108,,Airfreight,,,Grey Parrots
17,2010,3-May-10,Birds,Birmingham Airport,"Birmingham, United Kingdom","Birmingham, United Kingdom",,"Dubai, UAE",,14,,Passenger Clothing/Items,,,Peregrine Falcon eggs
18,2010,9-May-10,Birds,Cayenne – Felix Eboue Airport,"Cayenne, French Guiana","Cayenne, French Guiana",,,,16,,Passenger Clothing/Items,,,Hummingbirds
19,2010,7-Jun-10,Birds,Miami Airport,"Miami, USA",Cuba,,"Miami, USA",,72,,Luggage,,,Pigeon eggs
20,2010,2-Jul-10,Birds,Shahjalal Airport,"Dhaka, Bangladesh",India,"Dhaka, Bangladesh",Pakistan,,1000,Pakistani Airlines,Luggage,,,Birds
21,2010,20-Aug-10,Birds,Perth Airport,"Perth, Australia",,,"Perth, Australia",,7,,Airfreight,,,Bobwhite Quail
22,2010,11-Aug-10,Birds,Zurich Airport,"Zurich, Switzerland","Sao Paulo, Brazil",,"Zurich, Switzerland",,25,,Passenger Clothing/Items,,,Parrot eggs
23,2010,22-Sep-10,Birds,Belgrade Airport,"Belgrade, Serbia",,UAE,,,22,,Unknown,,,Toucans
24,2010,28-Sep-10,Birds,Kavumu Airport,"Bukavu, Congo","Bukavu, Congo",,Singapore,,523,,Airfreight,,,Grey Parrots
25,2010,28-Sep-10,Birds,Jinnah Airport,"Karachi, Pakistan","Karachi, Pakistan",,"Muscat, Oman",,139,,Airfreight,,Fake paperwork,Flamingos; Cranes; Rose-ringed parrots
26,2010,5-Oct-10,Birds,Domodedovo Airport,"Moscow, Russia","Moscow, Russia",,"Dubai, UAE",,6,,Luggage,,,Gyrfalcons; Merlins
