route,c1,c1lat,c1long,c2,c2lat,c2long,sum,,Unique,lat,long,city1 sum,city2 sum,total sum
Nairobi to Bangkok,Nairobi,-1.283346742,36.81665686,Bangkok,13.74999921,100.5166447,18,,Bangkok,13.74999921,100.5166447,33,81,114
Lilongwe to Beijing,Lilongwe,-13.98329507,33.78330196,Beijing,39.92889223,116.3882857,14,,Nairobi,-1.283346742,36.81665686,66,42,108
Maputo to Nairobi,Maputo,-25.95527749,32.58916296,Nairobi,-1.283346742,36.81665686,12,,Dubai,25.22999615,55.27997432,25,56,81
Dubai to Hong Kong,Dubai,25.22999615,55.27997432,Hong Kong,22.3049809,114.1850093,10,,Beijing,39.92889223,116.3882857,5,57,62
Khartoum to Dubai,Khartoum,15.58807823,32.53417924,Dubai,25.22999615,55.27997432,8,,Hong Kong,22.3049809,114.1850093,9,49,58
Addis Ababa to Beijing,Addis Ababa,9.033310363,38.70000443,Beijing,39.92889223,116.3882857,8,,Kuala Lumpur,3.166665872,101.6999833,12,45,57
Kinshasa to Nairobi,Kinshasa,-4.329724102,15.31497188,Nairobi,-1.283346742,36.81665686,8,,Doha,25.28655601,51.53296789,24,19,43
Antananarivo to Nairobi,Antananarivo,-18.91663735,47.5166239,Nairobi,-1.283346742,36.81665686,7,,Addis Ababa,9.033310363,38.70000443,26,15,41
Chennai to Kuala Lumpur,Chennai,13.08998781,80.27999874,Kuala Lumpur,3.166665872,101.6999833,7,,Hanoi,21.03332725,105.8500142,4,33,37
Paris to Hanoi,Paris,48.86669293,2.333335326,Hanoi,21.03332725,105.8500142,7,,Paris,48.86669293,2.333335326,18,14,32
Georgetown to New York,Georgetown,6.801973693,-58.16702865,New York,40.74997906,-73.98001693,6,,Jakarta,-6.174417705,106.8294376,22,9,31
Dhaka to Bangkok,Dhaka,23.72305971,90.40857947,Bangkok,13.74999921,100.5166447,6,,Antananarivo,-18.91663735,47.5166239,26,0,26
Antananarivo to Bangkok,Antananarivo,-18.91663735,47.5166239,Bangkok,13.74999921,100.5166447,6,,Maputo,-25.95527749,32.58916296,24,2,26
Chennai to Bangkok,Chennai,13.08998781,80.27999874,Bangkok,13.74999921,100.5166447,6,,Singapore,1.293033466,103.8558207,8,17,25
Nairobi to Hong Kong,Nairobi,-1.283346742,36.81665686,Hong Kong,22.3049809,114.1850093,6,,Lilongwe,-13.98329507,33.78330196,24,0,24
Bangkok to Hanoi,Bangkok,13.74999921,100.5166447,Hanoi,21.03332725,105.8500142,6,,Chennai,13.08998781,80.27999874,16,6,22
Addis Ababa to Bangkok,Addis Ababa,9.033310363,38.70000443,Bangkok,13.74999921,100.5166447,6,,Guangzhou,23.1449813,113.3250101,4,17,21
Nairobi to Guangzhou,Nairobi,-1.283346742,36.81665686,Guangzhou,23.1449813,113.3250101,6,,Amsterdam,52.34996869,4.916640176,7,14,21
Jakarta to Hong Kong,Jakarta,-6.174417705,106.8294376,Hong Kong,22.3049809,114.1850093,5,,Johannesburg,-26.17004474,28.03000972,13,8,21
Bangkok to Hong Kong,Bangkok,13.74999921,100.5166447,Hong Kong,22.3049809,114.1850093,5,,Dhaka,23.72305971,90.40857947,14,6,20
Lilongwe to Addis Ababa,Lilongwe,-13.98329507,33.78330196,Addis Ababa,9.033310363,38.70000443,5,,Brussels,50.83331708,4.333316608,11,6,17
Harare to Dubai,Harare,-17.81778969,31.04470943,Dubai,25.22999615,55.27997432,5,,London,51.49999473,-0.116721844,6,11,17
Doha to Abu Dhabi,Doha,25.28655601,51.53296789,Abu Dhabi,24.46668357,54.36659338,4,,Kinshasa,-4.329724102,15.31497188,16,1,17
Havana to Miami,Havana,23.13195884,-82.36418217,Miami,25.7876107,-80.22410608,4,,Luanda,-8.838286114,13.23442704,16,1,17
New Delhi to Dhaka,New Delhi,28.60002301,77.19998002,Dhaka,23.72305971,90.40857947,4,,Entebbe,0.060395527,32.46002356,15,1,16
Yamoussoukro to Dubai,Yamoussoukro,6.81838096,-5.275502565,Dubai,25.22999615,55.27997432,4,,Abu Dhabi,24.46668357,54.36659338,4,12,16
Doha to Ho Chi Minh City,Doha,25.28655601,51.53296789,Ho Chi Minh City,10.78002545,106.6950272,4,,Ho Chi Minh City,10.78002545,106.6950272,5,10,15
Lagos to Doha,Lagos,6.443261653,3.391531071,Doha,25.28655601,51.53296789,4,,Khartoum,15.58807823,32.53417924,11,2,13
Nairobi to Dubai,Nairobi,-1.283346742,36.81665686,Dubai,25.22999615,55.27997432,4,,Moscow,55.75216412,37.61552283,6,6,12
Nairobi to Doha,Nairobi,-1.283346742,36.81665686,Doha,25.28655601,51.53296789,4,,New Delhi,28.60002301,77.19998002,9,2,11
Nairobi to Beijing,Nairobi,-1.283346742,36.81665686,Beijing,39.92889223,116.3882857,4,,Pretoria,-25.70692055,28.22942908,9,2,11
Luanda to Bangkok,Luanda,-8.838286114,13.23442704,Bangkok,13.74999921,100.5166447,4,,Lagos,6.443261653,3.391531071,8,3,11
Manama to Dubai,Manama,26.23613629,50.58305172,Dubai,25.22999615,55.27997432,3,,Abuja,9.083333149,7.533328002,10,1,11
Moscow to Dubai,Moscow,55.75216412,37.61552283,Dubai,25.22999615,55.27997432,3,,Harare,-17.81778969,31.04470943,11,0,11
