ID,Date ,Database,Seizure Country,Seizure City,Origin Country1,Origin City1,Origin Country2,Origin City2,Origin Country3,Origin City3,Transit Country1,Transit City1,Transit Country2,Transit City2,Transit Country3,Transit City3,Transit Country4,Transit City4,Destination Country1,Destination City1,Destination Country2,Destination City2,Destination Country3,Destination City 3,Unique
1,18-Jan-09,Birds,USA,New York,Guyana,,,,,,,,,,,,,,USA,New York,,,,,USA
2,3-Feb-09,Birds,Australia,Melbourne,,,,,,,United Arab Emirates,Dubai,,,,,,,Australia,Melbourne,,,,,Australia
3,12-Feb-09,Birds,Taiwan,Taipei,Indonesia,,,,,,,,,,,,,,,,,,,,Taiwan
4,1-Mar-09,Birds,USA,Los Angeles,Vietnam,,,,,,,,,,,,,,USA,Los Angeles,,,,,Indonesia
5,13-Mar-09,Birds,Indonesia,Jakarta,Indonesia,Jakarta,,,,,,,,,,,,,Saudi Arabia,Riyadh,,,,,India
6,6-Sep-09,Birds,Australia,Perth,Indonesia,Denpasar,,,,,,,,,,,,,Australia,,,,,,Russia
7,14-Sep-09,Birds,USA,New York,Guyana,Georgetown,,,,,,,,,,,,,USA,New York,,,,,Malta
8,2-Oct-09,Birds,Taiwan,Kaohsiung,China,,,,,,,,,,,,,,,,,,,,Cameroon
9,20-Oct-09,Birds,India,Bangalore,India,Bangalore,,,,,,,,,,,,,India,Delhi,,,,,Bulgaria
10,31-Oct-09,Birds,Russia,Moscow,Russia,Moscow,,,,,,,,,,,,,Qatar,Doha,,,,,UK
11,20-Nov-09,Birds,Taiwan,Taipei,China,,,,,,,,,,,,,,,,,,,,French Guiana
12,21-Nov-09,Birds,Malta,Luqa,Malta,Luqa,,,,,,,,,,,,,Libya,Tripoli,,,,,Bangladesh
13,28-Nov-09,Birds,Cameroon,Douala,Cameroon,Douala,,,,,,,,,,,,,Bahamas,,,,,,Switzerland
14,2-Dec-09,Birds,Russia,Petropavlovsk Kamchatskiy,Russia,Petropavlovsk Kamchatskiy,,,,,,,,,,,,,Russia,Vladivostok,,,,,Serbia
