ID,Date ,Database,Seizure Country,Seizure City,Origin Country1,Origin City1,Origin Country2,Origin City2,Origin Country3,Origin City3,Transit Country1,Transit City1,Transit Country2,Transit City2,Transit Country3,Transit City3,Transit Country4,Transit City4,Destination Country1,Destination City1,Destination Country2,Destination City2,Destination Country3,Destination City 3,Seizure Location,Year,Date ,Origin Country1,Origin City1,Origin Country2,Origin City2,Origin Country3,Origin City3,Transit Country1,Transit City1,Transit Country2,Transit City2,Transit Country3,Transit City3,Transit Country4,Transit City4,Destination Country1,Destination City1,Destination Country2,Destination City2,Destination Country3,Destination City 3,Seizure Country,Seizure City
1,1/18/2009,Birds,USA,New York,Guyana,,,,,,,,,,,,,,USA,New York,,,,,Destination City1,2009,18-Jan-09,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,New York,SEIZURE,SEIZURE,SEIZURE,SEIZURE,USA,New York
2,2/3/2009,Birds,Australia,Melbourne,,,,,,,UAE,Dubai,,,,,,,Australia,Melbourne,,,,,Destination City1,2009,3-Feb-09,,0,0,0,0,0,UAE,Dubai,0,0,0,0,0,0,Australia,Melbourne,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Australia,Melbourne
3,2/12/2009,Birds,Taiwan,Taipei,Indonesia,,,,,,,,,,,,,,,,,,,,#N/A,2009,12-Feb-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,3/1/2009,Birds,USA,Los Angeles,Vietnam,,,,,,,,,,,,,,USA,Los Angeles,,,,,Destination City1,2009,1-Mar-09,Vietnam,0,0,0,0,0,,0,0,0,0,0,0,0,USA,Los Angeles,SEIZURE,SEIZURE,SEIZURE,SEIZURE,USA,Los Angeles
5,3/13/2009,Birds,Indonesia,Jakarta,Indonesia,Jakarta,,,,,,,,,,,,,Saudi Arabia,Riyadh,,,,,Origin City1,2009,13-Mar-09,Indonesia,Jakarta,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Indonesia,Jakarta
6,9/6/2009,Birds,Australia,Perth,Indonesia,Denpasar,,,,,,,,,,,,,Australia,,,,,,#N/A,2009,6-Sep-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,9/14/2009,Birds,USA,New York,Guyana,Georgetown,,,,,,,,,,,,,USA,New York,,,,,Destination City1,2009,14-Sep-09,Guyana,Georgetown,0,0,0,0,,0,0,0,0,0,0,0,USA,New York,SEIZURE,SEIZURE,SEIZURE,SEIZURE,USA,New York
8,10/2/2009,Birds,Taiwan,Kaohsiung,China,,,,,,,,,,,,,,,,,,,,#N/A,2009,2-Oct-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,10/20/2009,Birds,India,Bangalore,India,Bangalore,,,,,,,,,,,,,India,Delhi,,,,,Origin City1,2009,20-Oct-09,India,Bangalore,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,India,Bangalore
10,10/31/2009,Birds,Russia,Moscow,Russia,Moscow,,,,,,,,,,,,,Qatar,Doha,,,,,Origin City1,2009,31-Oct-09,Russia,Moscow,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Russia,Moscow
